Model:,Kit Enclosure v26
Cutting Area:, x 

Position,Name,Description,Quantity,Length (mm),Dimensions (mm)



Unrecognized Parts (only relevant if Fusion model changes and can usually be ignored)
Position,Name,Description,Quantity,Length (mm),Dimensions (mm),Path
1,Body1,,1,,508 x 406.4 x 198.45,Enclosure_Box:1
2,Body1,,1,,16 x 6.55 x 0,Enclosure_Box:1->Enclosure_Ground_Stud:1
3,Body1,,1,,38.1 x 11.53 x 0,Enclosure_Box:1->Mounting_Plate_Stud:1
4,Body1,,1,,53.97 x 23 x 15.82,Enclosure_Box:1->Enclosure_Part_16:1
5,Body1,,1,,80.01 x 4.03 x 0,Enclosure_Box:1->Enclosure_Part_07:1
6,Body1,,1,,16.71 x 7.45 x 2.84,Enclosure_Box:1->Enclosure_Part_08:1
7,Body1,,1,,49.12 x 14 x 1.57,Enclosure_Box:1->Enclosure_Part_17:1
8,Body1,,1,,49.12 x 14 x 1.57,Enclosure_Box:1->Enclosure_Part_27:1
9,Body1,,1,,53.97 x 23 x 15.82,Enclosure_Box:1->Enclosure_Part_26:1
10,Body1,,1,,80.01 x 4.03 x 0,Enclosure_Box:1->Enclosure_Part_28:1
11,Body1,,1,,16.71 x 7.45 x 2.84,Enclosure_Box:1->Enclosure_Part_29:1
12,Body1,,1,,52.83 x 15.81 x 12.7,Enclosure_Box:1->Enclosure_Part_30:1
13,Body1,,1,,52.83 x 15.81 x 12.7,Enclosure_Box:1->Enclosure_Part_31:1
14,Body1,,1,,20.52 x 18.3 x 10,"Enclosure_Box:1->hex flange nut_am_B18.2.2.4M - Hex flange nut, M10 x 1.5, with 15 WAF --N:1"
15,Body1,,1,,38.1 x 11.53 x 0,Enclosure_Box:1->Mounting_Plate_Stud:2
16,Body1,,1,,20.52 x 18.3 x 10,"Enclosure_Box:1->hex flange nut_am_B18.2.2.4M - Hex flange nut, M10 x 1.5, with 15 WAF --N:4"
17,Body1,,1,,38.1 x 11.53 x 0,Enclosure_Box:1->Mounting_Plate_Stud:3
18,Body1,,1,,20.52 x 18.3 x 10,"Enclosure_Box:1->hex flange nut_am_B18.2.2.4M - Hex flange nut, M10 x 1.5, with 15 WAF --N:5"
19,Body1,,1,,38.1 x 11.53 x 0,Enclosure_Box:1->Mounting_Plate_Stud:4
20,Body1,,1,,20.52 x 18.3 x 10,"Enclosure_Box:1->hex flange nut_am_B18.2.2.4M - Hex flange nut, M10 x 1.5, with 15 WAF --N:6"
21,Body1,,1,,503.53 x 402.26 x 17.53,Enclosure_Door:1
22,Body1,,1,,52.52 x 28.99 x 19.81,Enclosure_Door:1->Enclosure_Part_21:1
23,Body1,,1,,13.56 x 2.37 x 0,Enclosure_Door:1->Enclosure_Part_15:1
24,Body1,,1,,16 x 6.55 x 0,Enclosure_Door:1->Enclosure_Part_09:1
25,Body1,,1,,13.56 x 2.37 x 0,Enclosure_Door:1->Enclosure_Part_13:1
26,Body1,,1,,33.97 x 20.32 x 8,Enclosure_Door:1->Enclosure_Part_20:1
27,Body1,,1,,15.97 x 14 x 14,Enclosure_Door:1->Enclosure_Part_23:1
28,Body1,,1,,25.4 x 14.73 x 10.31,Enclosure_Door:1->Enclosure_Part_24:1
29,Body1,,1,,22.34 x 4.55 x 0,Enclosure_Door:1->Enclosure_Part_25:1
30,Body1,,1,,462.28 x 360.68 x 1.83,Enclosure Mounting Plate:1
31,Body3,,1,,40.67 x 24.8 x 1.8,Electronic Components:1->Red E-Stop Switch:1
32,Body10,,1,,1.75 x 1.6 x 0.4,Electronic Components:1->Red E-Stop Switch:1
33,Body11,,1,,1.75 x 1.6 x 0.4,Electronic Components:1->Red E-Stop Switch:1
34,Body12,,1,,11 x 4.1 x 1.6,Electronic Components:1->Red E-Stop Switch:1
35,Body13,,1,,29.9 x 27.55 x 26.9,Electronic Components:1->Red E-Stop Switch:1
36,Body14,,1,,26.97 x 24.39 x 4.25,Electronic Components:1->Red E-Stop Switch:1
37,Body15,,1,,29.48 x 29 x 6.1,Electronic Components:1->Red E-Stop Switch:1
38,Body16,,1,,26.5 x 26.5 x 8.35,Electronic Components:1->Red E-Stop Switch:1
39,Body17,,1,,28.14 x 27.3 x 23.26,Electronic Components:1->Red E-Stop Switch:1
40,Body18,,1,,25.9 x 20.97 x 16.17,Electronic Components:1->Red E-Stop Switch:1
41,Body19,,1,,37.45 x 30 x 8.8,Electronic Components:1->Red E-Stop Switch:1
42,Body1,,1,,39.95 x 25.55 x 8.2,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
43,Body2,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
44,Body3,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
45,Body4,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
46,Body5,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
47,Body6,,1,,21.15 x 7.9 x 5,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
48,Body7,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
49,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
50,Body9,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):1
51,Body1,,1,,39.95 x 25.55 x 8.2,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
52,Body2,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
53,Body3,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
54,Body4,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
55,Body5,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
56,Body6,,1,,21.15 x 7.9 x 5,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
57,Body7,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
58,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
59,Body9,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Red E-Stop Switch:1->Switch Module (2):2
60,Body3,,1,,40.67 x 24.8 x 1.8,Electronic Components:1->Red Stop Switch:1
61,Body10,,1,,1.75 x 1.6 x 0.4,Electronic Components:1->Red Stop Switch:1
62,Body11,,1,,1.75 x 1.6 x 0.4,Electronic Components:1->Red Stop Switch:1
63,Body12,,1,,11 x 4.1 x 1.6,Electronic Components:1->Red Stop Switch:1
64,Body13,,1,,29.9 x 27.55 x 26.9,Electronic Components:1->Red Stop Switch:1
65,Body14,,1,,26.97 x 24.39 x 4.25,Electronic Components:1->Red Stop Switch:1
66,Body15,,1,,29.48 x 29 x 6.1,Electronic Components:1->Red Stop Switch:1
67,Body16,,1,,26.5 x 26.5 x 8.3,Electronic Components:1->Red Stop Switch:1
68,Body17,,1,,26.7 x 23.26 x 21.87,Electronic Components:1->Red Stop Switch:1
69,Body19,,1,,37.45 x 30 x 8.8,Electronic Components:1->Red Stop Switch:1
70,Body1,,1,,39.95 x 25.55 x 8.2,Electronic Components:1->Red Stop Switch:1->Switch Module:1
71,Body2,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red Stop Switch:1->Switch Module:1
72,Body3,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red Stop Switch:1->Switch Module:1
73,Body4,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red Stop Switch:1->Switch Module:1
74,Body5,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red Stop Switch:1->Switch Module:1
75,Body6,,1,,21.15 x 7.9 x 5,Electronic Components:1->Red Stop Switch:1->Switch Module:1
76,Body7,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red Stop Switch:1->Switch Module:1
77,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red Stop Switch:1->Switch Module:1
78,Body9,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Red Stop Switch:1->Switch Module:1
79,Body1,,1,,39.95 x 25.3 x 8.2,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
80,Body2,,1,,39.65 x 21.3 x 8.75,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
81,Body3,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
82,Body4,,1,,11.69 x 7.1 x 7.1,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
83,Body5,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
84,Body6,,1,,12.2 x 8.3 x 3.4,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
85,Body7,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
86,Body8,,1,,6.61 x 5.91 x 2.68,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
87,Body9,,1,,28.15 x 13.2 x 0.8,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
88,Body10,,1,,18.09 x 9.9 x 9.9,Electronic Components:1->Red Stop Switch:1->Switch Light Contact:1
