ID,Nazwa (obecna),DIN,Nazwa proponowana,Uwaga
1,Śruba M4x8 łeb walcowy,,Śruba M4x8 łeb walcowy,łeb walcowy — potwierdzić: DIN 912 (imbus) lub DIN 84/ISO1207
2,Śruba M4x12,7985,Śruba M4x12 DIN 7985,
3,Śruba M4x16,7985,Śruba M4x16 DIN 7985,
4,Śruba M5x12,7985,Śruba M5x12 DIN 7985,
5,Śruba M5x20,7985,Śruba M5x20 DIN 7985,
6,Śruba M6x12,7985,Śruba M6x12 DIN 7985,
7,Śruba M6x20,7985,Śruba M6x20 DIN 7985,
8,Śruba M6x30,7985,Śruba M6x30 DIN 7985,
9,Śruba M6x50,7985,Śruba M6x50 DIN 7985,
10,Wkręt dociskowy M8x8,,Wkręt dociskowy M8x8,wkręt dociskowy imbus — potwierdzić: DIN 913/914/915/916
11,Śruba M8x45,933,Śruba M8x45 DIN 933,
12,Pręt gwintowany M5 (oś X),,Pręt gwintowany M5 (oś X),
13,Pręt gwintowany M5 (oś Y),,Pręt gwintowany M5 (oś Y),
14,Nakrętka M5,934,Nakrętka M5 DIN 934,
15,Szyna HGR20 (oś X i Y) + Wózek liniowy HGW20CC,,Szyna HGR20 (oś X i Y) + Wózek liniowy HGW20CC,
18,Szyna HGR15 (oś 2Z) + Wózek liniowy HGH15CA,,Szyna HGR15 (oś 2Z) + Wózek liniowy HGH15CA,
21,Śruba kulowa 1610 (oś Y),,Śruba kulowa 1610 (oś Y),
22,Śruba kulowa 1610 (oś X),,Śruba kulowa 1610 (oś X),
23,Śruba kulowa 1610 (oś Y2),,Śruba kulowa 1610 (oś Y2),
24,Śruba kulowa 1204 (oś Z),,Śruba kulowa 1204 (oś Z),
25,Uchwyt wrzeciona 80mm,,Uchwyt wrzeciona 80mm,
26,Profil stalowy: rama oś X,,Profil stalowy: rama oś X,
27,Profil stalowy: rama oś Y,,Profil stalowy: rama oś Y,
28,Profil stalowy: wózek oś Y,,Profil stalowy: wózek oś Y,
29,Profil stalowy: usztywnienie wózka Y,,Profil stalowy: usztywnienie wózka Y,
30,Profil stalowy: belka bramowa X,,Profil stalowy: belka bramowa X,
31,Profil stalowy: wózek oś X,,Profil stalowy: wózek oś X,
32,Profil aluminiowy: kątownik wózka X,,Profil aluminiowy: kątownik wózka X,
33,Płyta drewniana,,Płyta drewniana,
35,Podkładka dystansowa wózka X,,Podkładka dystansowa wózka X,
36,Smarowniczka płaska M6 (2),,Smarowniczka płaska M6 (2),
37,Mocowanie silnika HM12-57 (Y),,Mocowanie silnika HM12-57 (Y),
38,Sprzęgło D30L40 8-10mm (Y),,Sprzęgło D30L40 8-10mm (Y),
39,Podpora BF12 (Y),,Podpora BF12 (Y),
40,Nakrętka kulowa SFU1610 (Y),,Nakrętka kulowa SFU1610 (Y),
41,Silnik krokowy NEMA23 (Y),,Silnik krokowy NEMA23 (Y),
42,Czujnik indukcyjny M8 (Y),,Czujnik indukcyjny M8 (Y),
43,Mocowanie silnika HM12-57 (X),,Mocowanie silnika HM12-57 (X),
44,Nakrętka kulowa SFU1610 (X),,Nakrętka kulowa SFU1610 (X),
45,Podpora BF12 (X),,Podpora BF12 (X),
46,Sprzęgło D30L40 8-10mm (X),,Sprzęgło D30L40 8-10mm (X),
47,Silnik krokowy NEMA23 (X),,Silnik krokowy NEMA23 (X),
48,Smarowniczka płaska M6,,Smarowniczka płaska M6,
49,Smarowniczka płaska M6 (mirror),,Smarowniczka płaska M6 (mirror),
50,Czujnik indukcyjny M8 (X),,Czujnik indukcyjny M8 (X),
51,Smarowniczka płaska M6 (2)(mirror),,Smarowniczka płaska M6 (2)(mirror),
52,Silnik krokowy NEMA23 (Y2),,Silnik krokowy NEMA23 (Y2),
53,Mocowanie silnika HM12-57 (Y2),,Mocowanie silnika HM12-57 (Y2),
54,Podpora BF12 (Y2),,Podpora BF12 (Y2),
55,Nakrętka kulowa SFU1610 (Y2),,Nakrętka kulowa SFU1610 (Y2),
56,Sprzęgło D30L40 8-10mm (Y2),,Sprzęgło D30L40 8-10mm (Y2),
57,Czujnik indukcyjny M8 (Y2),,Czujnik indukcyjny M8 (Y2),
58,Sprzęgło D25L30 8-8mm (Z),,Sprzęgło D25L30 8-8mm (Z),
59,Mocowanie silnika HM10-57 (Z),,Mocowanie silnika HM10-57 (Z),
60,Silnik krokowy NEMA23 (Z),,Silnik krokowy NEMA23 (Z),
61,Czujnik indukcyjny M8 (Z),,Czujnik indukcyjny M8 (Z),
62,2Z płyta Z 300mm Aluminium,,2Z płyta Z 300mm Aluminium,
63,Podkładka M6,125,Podkładka M6 DIN 125,
64,2Z belka trammingu płyty  Aluminium,,2Z belka trammingu płyty  Aluminium,
65,2Z wózek HGH15CA,,2Z wózek HGH15CA,
66,2Z kostki trammingu uchwytu wrzeciona,,2Z kostki trammingu uchwytu wrzeciona,
67,2Z płyta trammingu  Aluminium,,2Z płyta trammingu  Aluminium,
68,2Z nakrętka kulowa SFU1204,,2Z nakrętka kulowa SFU1204,
69,2Z blok nakrętki śruby kulowej,,2Z blok nakrętki śruby kulowej,
70,Wrzeciono 2.2kW 80mm,,Wrzeciono 2.2kW 80mm,
73,2Z drukowany wspornik szyny 4x,,2Z drukowany wspornik szyny 4x,
