,,,,,,@dropdown
,1275,,,,,
Y Axis,1275,,,,,
"For X/Y over 900mm, bom will changed to 100x80x4 X gantry and 2010 ballscrew etc.",62,,,,,
The Bom is based on metalcutter with dual carriages.,The Bom is based on metalcutter with dual carriages.,,,,,
,,,,,,
SRF,10,,,,,
Outsize Width,1710,,,,,
Outsize Depth,1688,,,,,
,,,,,,
,Part,Spec,Length,Qty,Note,
,,,,,,
Fasteners,M4x12 SHCS,,,35,Bom 22,
,M4x16 SHCS,,,40,Bom 24,
,M5x12 SHCS,,,10,Bom 4,
,M5x20 SHCS,,,120,Bom 88,
,M6x12 SHCS,,,180,Bom 148,
,M6x20 SHCS,,,120,Bom 95,
,M6x30 SHCS,,,40,Bom 27,
,M6x50 SHCS,,,30,Bom 22,
,M8x8 Grub,,,10,Bom 4,
,X M6 Threaded Rod,185 Length,,6,Bom 6,
,Y M6 Threaded Rod,185 Length,,12,Bom 12,
,X M6 Nut,,,30,Bom 18,
,Y M6 Nut,,,50,Bom 36,
,M5x16 SHCS,,,20,16 needed,
,M8x20 SHCS,,,6,For Spindle Mount,
,,,,,,
Frame,X Support,80x50x4,1595,5,Stainless Steel,
,Y Support,80x50x4,1590,2,Stainless Steel,
,X Gantry,100x80x4,1625,1,Stainless Steel,
,Y Roller,80x50x4,150,2,Stainless Steel,
,X Roller,80x50x4,150,1,Stainless Steel,
,,,,,,
,,,,,,
Rails,X Rail,HGR20,1440,2,,
,X Carriage,HGW20CC,,4,,
,Y Rail,HGR20,1440,2,,
,Y Carriage,HGW20CC,,4,,
,Z Rail,HGR15,300,2,,
,Z Carriage,HGH15CA,,4,,
,,,,,,
Ball Screw Set,X BallScrew,2010,1540,1,,
,Y BallScrew,2010,1540,2,,
,Z BallScrew,1204,300,1,,
,X BallScrew Nut,2010,,1,,
,X HM Bearing & Motor Mount,HM15-57,,1,With C5 Angular Contact Bearing,
,X Support Mount,BF15,,1,,
,Y BallScrew Nut,2010,,2,,
,Y HM Bearing & Motor Mount,HM15-57,,2,With C5 Angular Contact Bearing,
,Y Support Mount,BF15,,2,,
,Z BallScrew Nut,1204 Nut,,1,,
,Z BallScrew Nut Mount,DSG12H,,1,,
,Z HM Bearing & Motor Mount,HM10-57,,1,With C5 Angular Contact Bearing,
,Shaft Coupling D30L40,8*12,,1,For X Axis,
,Shaft Coupling D30L40,8*12,,2,For Y Axis,
,Shaft Coupling D25L30,8*8,,1,For Z Axis,
,,,,,,
Steppers,NEMA23 Close-Loop,98mm 2.2N.m,98,4,,
,Close-Loop Driver,HBS57AJ-XK,,4,,
,,,,,,
CNC Machined Parts,Dual HGR15 Z Tram Plate,6061 Al,,1,,
,Z Plate,6061 Al,,1,,
,Y RollerBrace,6061 Al,,2,,
,X RollerAngle,6061 Al,,1,,
,X HM Riser,HM15-57 Riser,,1,,
,X BF Riser,BF15 Riser,,1,,
,Y HM Riser,HM15-57 Riser,,2,,
,Y BF Riser,BF15 Riser,,2,,
,RollerPlate,6061 Al,,6,,
,Z Spacer 8mm,6061 Al,,1,,
,,,,,,
,,,,,,
,,,,,,
Misc Parts,Cable Chain,25x57 R75,,3,,
,,,,,,
Electronic,Meanwell PSU,LRS-150-24,,1,,
,Meanwell PSU,LRS-350-48,,1,,
,Sensor,LJ8A3-2-Z-AX M8,,5,,
,Schneider contactor,LC1D09P7C,,1,,
,Schneider Breaker,iC65N 2P C3A,,1,,
,20A Filter ,CW4L2-20A-R1,,1,,
,Wago Connector,wago 221-415,,6,,
,Emergency stop,BS542 22mm NC,,1,,
,XB2 Button,"BW3361,220V Green,NO",,1,,
,XB2 Button ,"BW3462,220V,Red,NC",,1,,
,wires - 20AWG,"BV Cable, 4 colors",,4,10m/each color,
,wires - 16AWG,"RV Cable, 3 colors",,2,2m/each color,
,C20 Socket,SS-3A,,1,,
,Switch,RF-1004,,1,,
,Pluggable Terminal,15EDGWC 3.81 pitch 5P,,4,,
,Pluggable Terminal,15EDGWC 3.81 pitch 7P,,4,,
,Pluggable Terminal,15EDG  3.81 pitch 4P,,4,,
,Electronic Fan,120x120mm 24V,,2,,
,Fan Filter,120x120,,2,,
,,,,,,
Spindle,2.2kw 80x235 220V Spindle,"220V, 4 Bearings, water-proof",,1,2sets AC bearings,
,HY 2.2kw VFD,"FC01 VFD, 0-400Hz",,1,,
,24V Water Cool Set,"240 Radiator,Fan,24W Pump,10m Tube",,1,,
,Spindle Cable,4 wires,6412.5,1,,
,,,,,,
Addon,,,,,,
ER20 Collect,ER20-3,AA (0.008),,1,,
,ER20-3.175 (1/8),AA (0.008),,1,,
,ER20-4,AAA (0.005),,2,,
,ER20-5,AA (0.008),,1,,
,ER20-6,AAA (0.005),,2,,
,ER20-8,AA (0.008),,1,,
,ER20-6.35 (1/4),AA (0.008),,1,,
,ER20-10,AAA (0.005),,1,,
,ER20-12,AAA (0.005),,1,,
,ER20A Nut,,,10,,
,,,,,,
,,,,,,
Attened Stepper Cable,Power cable & Encoder cable,For Z and Y1,6412.5,2,,
,Power cable & Encoder cable,For X and Y2,3975,2,,
,,,,,,
controller not includ,,,,,,
