Model:,20260415 PrintNC V4 Metalcutter V4.0.36 Beta4
Cutting Area:,1000 mm x 1000 mm

Position,Name,Description,Quantity,Length (mm),Dimensions (mm)
1,M4x8 Pan Head,,4,,
2,M4x12,,22,,
3,M4x16,,28,,
4,M5x12,,4,,
5,M5x20,,112,,
6,M6x12,,142,,
7,M6x20,,66,,
8,M6x30,,32,,
9,M6x50,,24,,
10,M8x8 Grub,,4,,
11,M8x45,,3,,
12,X M5 Threaded Rod,,6,185,
13,Y M5 Threaded Rod,,12,185,
14,M5 Nut,,54,,
15,X HGR20 Rail,,2,1175,
16,Y HGR20 Rail,,1,1175,
17,Y2 HGR20 Rail,,1,1175,
18,2Z HGR15 Rail,,2,300,
19,HGH15CA slider block,,4,,
20,HGW20CC slider block,,8,,
21,Y 1610 Ballscrew,,1,1275,
22,X 1610 Ballscrew,,1,1275,
23,Y2 1610 Ballscrew,,1,1275,
24,Z 1204 Ballscrew,,1,300,
25,80mm Spindle Clamp,,1,,
26,Steel: X Frame Tubing,,4,1360,1360 x 80 x 80
27,Steel: Y Frame Tubing,,2,1325,1325 x 80 x 80
28,Steel: Y Roller Tubing,,2,150,150 x 80 x 80
29,Steel: Y Roller Brace,,2,,80 x 75 x 50
30,Steel: X Gantry Tubing,,1,1360,1360 x 80 x 80
31,Steel: X Roller Tubing,,1,150,150 x 80 x 80
32,Steel: X Roller Angle,,1,150,150 x 100 x 50



Unrecognized Parts (only relevant if Fusion model changes and can usually be ignored)
Position,Name,Description,Quantity,Length (mm),Dimensions (mm),Path
1,Body1,,1,,1225 x 1200 x 20,PrintNC Structure:1->Wasteboard:1
2,Body1,,1,,1005 x 1005 x 125,PrintNC Structure:1->Cutting Area:1
3,Body1,,1,,125 x 80 x 8,PrintNC Structure:1->XGantry:1->XRoller Top:1->XRollerShim:1
4,Body2,,1,,10.39 x 9 x 9,Hardware:1->YAxis Hardware:1->Y HGW20CC:1->M6 Flush Grease Fitting (2):1
5,Body11,,1,,10.39 x 9 x 9,Hardware:1->YAxis Hardware:1->Y HGW20CC:1->M6 Flush Grease Fitting (2):1
6,Body1,,1,,89 x 60 x 60,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y HM12-57:1
7,Body3,,1,,21.64 x 21.51 x 8,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y HM12-57:1
8,Body4,,1,,34 x 34 x 6,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y HM12-57:1
9,Body3 (1),,1,,31.5 x 28 x 14.8,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y HM12-57:1
10,Body1,,1,,26.5 x 25.98 x 25,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y D30L40 8-10mm Coupler:1
11,Body2,,1,,25.38 x 25.38 x 12,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y D30L40 8-10mm Coupler:1
12,Body3,,1,,26.5 x 25.98 x 25,Hardware:1->YAxis Hardware:1->Y 1610 Ballscrew Set:1->Y D30L40 8-10mm Coupler:1
